"ID","DASHBOARD_NAME","DASHBOARD_TYPE","ORDER_INDEX","PROFILE_ID","MENU_ITEM_ID","STATUS","DESCRIPTION","UPDATE_TIME","UPDATE_USER"
3581,Doanh thu dịch vụ nhóm VTT,0,,2028,2773,1,,2021-10-14 13:54:49.000,"170635"
3582,Doanh thu dịch vụ nhóm VDS,0,,2028,2778,1,,2021-10-14 13:52:28.000,"170635"
3517,Doanh thu dịch vụ SME,0,,2023,2721,1,,2021-10-14 11:31:27.000,"170635"
3518,Doanh thu dịch vụ di động,0,,2023,2717,1,,2022-07-11 17:48:45.000,"269413"
3519,Doanh thu dịch vụ nhóm VTS,0,,2023,2722,1,,2021-10-14 11:30:55.000,"170635"
3520,Thuê bao FTTH,0,,2023,2714,1,,2021-10-14 11:30:44.000,"170635"
3521,Thuê bao di động phát triển thực,0,,2023,2716,1,,2022-01-10 09:21:26.000,"170635"
3522,Thuê bao 4G phát triển thực,0,,2023,2715,1,,2021-10-14 11:30:20.000,"170635"
3523,Tổng doanh thu dịch vụ,0,,2023,2719,1,,2022-01-20 15:59:49.000,"170635"
3524,Thuê bao register,0,,2023,2713,1,,2021-11-04 16:19:44.000,"170635"
2880,Doanh thu dịch vụ,0,,1862,2137,1,,2023-08-09 11:21:05.000,"269413"
2754,Doanh thu dịch vụ,0,,1850,2025,1,,2023-08-08 16:26:17.000,"269413"
2755,Thuê bao di động phát triển thực,0,,1850,2028,1,,2023-08-08 16:46:31.000,"269413"
2756,Thuê bao 4G phát triển thực,0,,1850,2029,1,,2023-08-08 16:15:59.000,"269413"
2757,Tổng doanh thu,0,,1850,2026,1,,2023-08-08 16:13:34.000,"269413"
2758,Tiêu dùng thực di động,0,,1850,2024,1,,2023-08-08 15:44:48.000,"269413"
2759,Thuê bao register,0,,1850,2027,1,,2023-08-08 15:23:20.000,"269413"
2760,Thuê bao FTTH,0,,1850,2030,1,,2023-08-08 15:19:19.000,"269413"
2761,MOV,1,,1850,,1,,2022-10-12 17:54:00.000,slgb_admin_bi
2881,Thuê bao di động phát triển thực,0,,1862,2140,1,,2023-08-09 11:16:51.000,"269413"
2882,Thuê bao 4G phát triển thực,0,,1862,2141,1,,2023-08-09 11:09:59.000,"269413"
2883,Tổng doanh thu,0,,1862,2138,1,,2023-08-09 11:05:17.000,"269413"
2884,Tiêu dùng thực di động,0,,1862,2136,1,,2023-08-09 10:57:51.000,"269413"
2885,Thuê bao register,0,,1862,2139,1,,2023-08-09 10:53:02.000,"269413"
2887,VTZ,1,,1862,,1,,2023-05-18 09:08:04.000,slgb_admin_bi
3011,Lợi nhuận,0,,1910,2270,1,,2023-07-28 08:51:52.000,"269413"
3012,Doanh thu cộng ngang (KD),0,,1910,2267,1,,2023-08-22 09:37:16.000,"269413"
3179,Thu nhập BQ,0,,1953,4156,1,,2023-07-28 16:28:53.000,"269413"
3180,Chi phí,0,,1953,2394,1,,2023-07-28 16:28:30.000,"269413"
3015,Doanh thu bán hàng,0,,1910,2266,1,,2023-07-28 08:27:52.000,"269413"
3016,Doanh thu hợp nhất (TC),0,,1910,2274,1,,2023-07-28 08:23:04.000,"269413"
3017,Doanh thu hợp nhất (KD),0,,1910,2268,1,,2023-07-28 08:19:33.000,"269413"
3018,Doanh thu chuyển phát,0,,1910,2269,1,,2023-07-28 08:15:24.000,"269413"
3019,Doanh thu LOGISTICS,0,,1910,2272,1,,2023-07-26 13:55:20.000,"269413"
3020,Dòng tiền ròng,0,,1910,2271,1,,2023-07-26 13:47:22.000,"269413"
3021,VTPost,1,,1910,,1,,2023-08-31 18:58:11.000,"269413"
3181,Lợi nhuận,0,,1953,2396,1,,2023-07-28 16:24:27.000,"269413"
3182,Doanh thu dịch vụ,3,,1953,2391,1,,2023-07-28 15:43:24.000,"269413"
3183,VCS,1,,1953,,1,,2023-08-18 16:49:03.000,"269413"
3025,Doanh thu hợp nhất KD,0,,1911,2279,1,,2023-08-02 11:04:21.000,"269413"
3026,Tổng doanh thu KD,0,,1911,2278,1,,2023-08-02 10:57:16.000,"269413"
3027,Doanh thu bán hàng,0,,1911,2277,1,,2023-08-02 10:38:34.000,"269413"
3028,Doanh thu chuyển phát,0,,1911,2280,1,,2023-08-02 10:17:26.000,"269413"
3029,Doanh thu LOGISTICS,0,,1911,2281,1,,2023-08-02 10:12:38.000,"269413"
3030,VTPost,1,,1911,,1,,2023-08-28 08:22:34.000,"269413"
3184,Năng suất lao động BQ,0,,1953,4157,1,,2023-07-28 15:38:09.000,"269413"
3185,Tổng doanh thu,0,,1953,2392,1,,2023-07-27 15:25:39.000,"269413"
3229,VTS,1,,1958,,1,,2023-05-12 13:47:13.000,slgb_admin_bi
3187,Tổng doanh thu tài chính,0,,1953,2395,1,,2023-07-27 15:18:30.000,"269413"
3230,TỔNG DOANH THU (TRỪ HUBBING),0,,1958,2420,1,,2023-08-02 15:59:01.000,"269413"
3242,DT BÁN HÀNG VIỄN THÔNG,0,,1958,2430,1,,2023-08-02 15:53:42.000,"269413"
3257,Doanh thu bán hàng DA BQP,0,,1959,2452,1,,2023-07-26 16:02:43.000,"269413"
3260,Chi Phí,0,,1959,2455,1,,2023-07-26 15:18:58.000,"269413"
3396,Doanh thu dịch vụ SME,0,,2012,2600,1,,2021-10-12 10:44:42.000,"170635"
3397,Doanh thu dịch vụ di động,0,,2012,2596,1,,2022-07-11 18:14:18.000,"269413"
3398,Doanh thu dịch vụ nhóm VTS,0,,2012,2601,1,,2021-10-12 10:42:20.000,"170635"
3399,Thuê bao FTTH,0,,2012,2593,1,,2021-10-12 10:41:20.000,"170635"
3400,Thuê bao di động phát triển thực,0,,2012,2595,1,,2022-01-10 10:16:30.000,"170635"
3401,Thuê bao 4G phát triển thực,0,,2012,2594,1,,2021-10-12 10:38:06.000,"170635"
3402,Tổng doanh thu dịch vụ,0,,2012,2598,1,,2022-01-20 16:40:10.000,"170635"
3403,Thuê bao register,0,,2012,2592,1,,2021-11-04 08:34:16.000,"170635"
3404,Doanh thu dịch vụ cố định băng rộng,0,,2012,2599,1,,2021-10-12 10:33:31.000,"170635"
3405,Doanh thu dịch vụ nhóm VTT,0,,2012,2597,1,,2021-10-14 17:26:19.000,"170635"
3406,Doanh thu dịch vụ nhóm VDS,0,,2012,2602,1,,2021-10-12 10:31:28.000,"170635"
3429,Doanh thu dịch vụ SME,0,,2015,2633,1,,2021-10-14 11:17:53.000,"170635"
3430,Doanh thu dịch vụ di động,0,,2015,2629,1,,2022-07-12 08:14:14.000,"269413"
3431,Doanh thu dịch vụ nhóm VTS,0,,2015,2634,1,,2021-10-14 11:17:29.000,"170635"
3432,Thuê bao FTTH,0,,2015,2626,1,,2021-10-14 11:17:20.000,"170635"
3433,Thuê bao di động phát triển thực,0,,2015,2628,1,,2022-03-11 08:39:02.000,"170635"
3434,Thuê bao 4G phát triển thực,0,,2015,2627,1,,2021-10-14 11:16:51.000,"170635"
3435,Tổng doanh thu dịch vụ,0,,2015,2631,1,,2022-01-20 15:58:57.000,"170635"
3436,Thuê bao register,0,,2015,2625,1,,2021-11-04 16:09:00.000,"170635"
3437,Doanh thu dịch vụ cố định băng rộng,0,,2015,2632,1,,2021-10-25 11:55:48.000,"170635"
3438,Doanh thu dịch vụ nhóm VTT,0,,2015,2630,1,,2021-10-14 16:30:27.000,"170635"
3439,Doanh thu dịch vụ nhóm VDS,0,,2015,2635,1,,2021-10-25 11:56:26.000,"170635"
3550,Doanh thu dịch vụ SME,0,,2026,2754,1,,2021-10-14 11:30:55.000,"170635"
3551,Doanh thu dịch vụ di động,0,,2026,2750,1,,2021-10-14 11:27:57.000,"170635"
3552,Doanh thu dịch vụ nhóm VTS,0,,2026,2755,1,,2021-10-14 11:27:16.000,"170635"
3553,Thuê bao FTTH,0,,2026,2747,1,,2021-10-14 11:26:41.000,"170635"
3554,Thuê bao di động phát triển thực,0,,2026,2749,1,,2022-01-10 09:09:13.000,"170635"
3555,Thuê bao 4G phát triển thực,0,,2026,2748,1,,2021-10-14 11:24:05.000,"170635"
3556,Tổng doanh thu dịch vụ,0,,2026,2752,1,,2021-10-14 11:05:06.000,"170635"
3557,Thuê bao register,0,,2026,2746,1,,2021-11-05 11:20:23.000,"170635"
3558,Doanh thu dịch vụ cố định băng rộng,0,,2026,2753,1,,2021-10-14 11:20:25.000,"170635"
3559,Doanh thu dịch vụ nhóm VTT,0,,2026,2751,1,,2021-10-14 11:19:44.000,"170635"
3560,Doanh thu dịch vụ nhóm VDS,0,,2026,2756,1,,2021-10-14 11:17:32.000,"170635"
3561,Doanh thu dịch vụ SME,0,,2027,2765,1,,2021-10-14 12:00:51.000,"170635"
3562,Doanh thu dịch vụ di động,0,,2027,2761,1,,2021-10-14 11:59:31.000,"170635"
3563,Doanh thu dịch vụ nhóm VTS,0,,2027,2766,1,,2021-10-14 11:57:05.000,"170635"
3564,Thuê bao FTTH,0,,2027,2758,1,,2021-10-14 11:55:55.000,"170635"
3565,Thuê bao di động phát triển thực,0,,2027,2760,1,,2022-01-10 09:09:33.000,"170635"
3566,Thuê bao 4G phát triển thực,0,,2027,2759,1,,2021-10-14 11:53:51.000,"170635"
3567,Tổng doanh thu dịch vụ,0,,2027,2763,1,,2021-10-14 11:52:58.000,"170635"
3568,Thuê bao register,0,,2027,2757,1,,2021-11-05 11:23:28.000,"170635"
3569,Doanh thu dịch vụ cố định băng rộng,0,,2027,2764,1,,2021-10-14 11:49:52.000,"170635"
3570,Doanh thu dịch vụ nhóm VTT,0,,2027,2762,1,,2021-10-14 11:48:27.000,"170635"
3571,Doanh thu dịch vụ nhóm VDS,0,,2027,2767,1,,2021-10-14 11:44:37.000,"170635"
3583,Doanh thu dịch vụ SME,0,,2029,2787,1,,2021-10-14 14:29:38.000,"170635"
3584,Doanh thu dịch vụ di động,0,,2029,2783,1,,2021-10-14 14:25:32.000,"170635"
3585,Doanh thu dịch vụ nhóm VTS,0,,2029,2788,1,,2021-10-14 14:24:15.000,"170635"
3586,Thuê bao FTTH,0,,2029,2780,1,,2021-10-14 14:23:20.000,"170635"
3587,Thuê bao di động phát triển thực,0,,2029,2782,1,,2022-01-10 09:09:54.000,"170635"
3588,Thuê bao 4G phát triển thực,0,,2029,2781,1,,2021-10-14 14:21:17.000,"170635"
3589,Tổng doanh thu dịch vụ,0,,2029,2785,1,,2021-10-14 14:20:34.000,"170635"
3590,Thuê bao register,0,,2029,2779,1,,2021-11-05 11:29:09.000,"170635"
3591,Doanh thu dịch vụ cố định băng rộng,0,,2029,2786,1,,2021-10-14 14:18:09.000,"170635"
3592,Doanh thu dịch vụ nhóm VTT,0,,2029,2784,1,,2021-10-14 14:17:10.000,"170635"
3593,Doanh thu dịch vụ nhóm VDS,0,,2029,2789,1,,2021-10-14 14:15:20.000,"170635"
3594,Doanh thu dịch vụ SME,0,,2031,2809,1,,2021-10-13 16:31:45.000,"170635"
3595,Doanh thu dịch vụ di động,0,,2031,2805,1,,2022-07-11 17:30:33.000,slgb_admin_bi
3596,Doanh thu dịch vụ nhóm VTS,0,,2031,2810,1,,2021-10-13 16:29:18.000,"170635"
3597,Thuê bao FTTH,0,,2031,2802,1,,2021-10-13 16:28:15.000,"170635"
3598,Thuê bao di động phát triển thực,0,,2031,2804,1,,2022-01-10 09:23:03.000,"170635"
3599,Thuê bao 4G phát triển thực,0,,2031,2803,1,,2021-10-13 15:49:22.000,"170635"
3600,Tổng doanh thu dịch vụ,0,,2031,2807,1,,2022-01-20 16:00:27.000,"170635"
3601,Thuê bao register,0,,2031,2801,1,,2021-11-04 14:53:54.000,"170635"
3089,Tổng doanh thu tài chính,0,,1935,2327,1,,2023-07-28 17:27:35.000,"269413"
2856,Lợi nhuận,0,,1860,2123,1,,2023-08-03 10:16:33.000,"269413"
2857,Doanh thu dịch vụ,3,,1860,2115,1,,2023-08-03 10:14:07.000,"269413"
2858,Thuê bao di động phát triển thực,0,,1860,2118,1,,2023-08-08 17:21:04.000,"269413"
2859,Thuê bao 4G phát triển thực,0,,1860,2119,1,,2023-08-03 10:00:46.000,"269413"
2861,Tổng doanh thu tài chính,0,,1860,2122,1,,2023-08-03 09:07:02.000,"269413"
2862,Tổng doanh thu,0,,1860,2116,1,,2023-08-03 09:04:50.000,"269413"
2863,Tiêu dùng thực di động,0,,1860,2114,1,,2023-08-03 08:56:11.000,"269413"
2864,Thuê bao register,0,,1860,2117,1,,2023-08-08 17:18:13.000,"269413"
2865,Dòng tiền ròng,0,,1860,2121,1,,2023-08-03 08:26:45.000,"269413"
2866,VTP,1,,1860,,1,,2023-08-31 18:59:32.000,"269413"
2867,Dòng tiền về VN,0,,1860,2124,1,,2023-08-03 08:25:13.000,"269413"
3116,Doanh thu phân phối,0,,1940,2345,1,,2023-07-26 11:03:09.000,"269413"
3136,TỔNG DOANH THU (TC),0,,1941,2358,1,,2023-07-27 10:04:19.000,"269413"
3154,TỔNG DOANH THU (KD),0,,1950,2372,1,,2023-08-04 14:02:19.000,"269413"
3214,DOANH THU DỊCH VỤ,0,,1954,2407,1,,2023-08-03 12:29:25.000,"269413"
3215,Dòng tiền ròng,0,,1955,2405,1,,2023-07-27 10:55:03.000,"269413"
3374,Doanh thu dịch vụ SME,0,,2010,2578,1,,2021-10-20 16:20:18.000,"170635"
3375,Doanh thu dịch vụ di động,0,,2010,2574,1,,2021-10-20 16:19:37.000,"170635"
3376,Doanh thu dịch vụ nhóm VTS,0,,2010,2579,1,,2021-10-20 16:18:54.000,"170635"
3377,Thuê bao FTTH,0,,2010,2571,1,,2021-10-20 16:17:55.000,"170635"
3378,Thuê bao di động phát triển thực,0,,2010,2573,1,,2022-01-10 09:17:41.000,"170635"
3379,Thuê bao 4G phát triển thực,0,,2010,2572,1,,2021-10-20 16:16:11.000,"170635"
3380,Tổng doanh thu dịch vụ,0,,2010,2576,1,,2021-10-20 16:14:32.000,"170635"
3381,Thuê bao register,0,,2010,2570,1,,2021-11-04 14:43:16.000,"170635"
3382,Doanh thu dịch vụ cố định băng rộng,0,,2010,2577,1,,2021-10-20 16:12:43.000,"170635"
3383,Doanh thu dịch vụ nhóm VTT,0,,2010,2575,1,,2021-10-20 10:38:25.000,"170635"
3384,Doanh thu dịch vụ nhóm VDS,0,,2010,2580,1,,2021-10-20 10:37:46.000,"170635"
3484,Doanh thu dịch vụ SME,0,,2020,2688,1,,2021-10-14 11:20:20.000,"170635"
3485,Doanh thu dịch vụ di động,0,,2020,2684,1,,2021-10-14 11:20:08.000,"170635"
