"ID","CODE","URL","TYPE"
58,Mở đát bót chỉ huy Tập đoàn ngày,/pages/screen/2354,OPEN_URL_SPECIAL
73,Mở dashboard chỉ huy VTC tháng,/pages/screen/2701,OPEN_URL_SPECIAL
74,Mở đát bót VTC tháng,/pages/screen/2701,OPEN_URL_SPECIAL
75,Mở đát bọt chỉ huy VTC tháng,/pages/screen/2701,OPEN_URL_SPECIAL
84,Mở dashboard chỉ huy Công ty mẹ tháng,/pages/screen/9682,OPEN_URL_SPECIAL
94,Mở dashboard chỉ huy VTC ngày,/pages/screen/2690,OPEN_URL_SPECIAL
102,Mở dashboard chỉ huy NAT ngày,/pages/screen/2919,OPEN_URL_SPECIAL
104,Mở dashboard chỉ huy MOV tháng,/pages/screen/2772,OPEN_URL_SPECIAL
113,Mở dashboard chỉ huy VDS tháng,/pages/screen/3055,OPEN_URL_SPECIAL
114,Mở dashboard chỉ huy VTM tháng,/pages/screen/3097,OPEN_URL_SPECIAL
116,Mở dashboard chỉ huy VCS ngày,/pages/screen/3178,OPEN_URL_SPECIAL
118,Mở dashboard chỉ huy VTCC tháng,/pages/screen/3223,OPEN_URL_SPECIAL
120,Mở dashboard chỉ huy IDC ngày,/pages/screen/3189,OPEN_URL_SPECIAL
121,Mở dashboard chỉ huy IDC tháng,/pages/screen/3195,OPEN_URL_SPECIAL
122,Mở dashboard chỉ huy VDTC tháng,/pages/screen/3077,OPEN_URL_SPECIAL
124,Mở dashboard chỉ huy VTpost ngày,/pages/screen/3030,OPEN_URL_SPECIAL
125,Mở dashboard chỉ huy VTpost tháng,/pages/screen/3021,OPEN_URL_SPECIAL
126,Mở dashboard chỉ huy VCM tháng,/pages/screen/3110,OPEN_URL_SPECIAL
127,Mở dashboard chỉ huy VCM ngày,/pages/screen/3105,OPEN_URL_SPECIAL
130,Mở dashboard chỉ huy VAM tháng,/pages/screen/5528,OPEN_URL_SPECIAL
131,Mở dashboard chỉ huy VNC tháng,/pages/screen/3266,OPEN_URL_SPECIAL
132,Mở dashboard chỉ huy VTX tháng,/pages/screen/4895,OPEN_URL_SPECIAL
134,Mở dashboard chỉ huy VTAca tháng,/pages/screen/5524,OPEN_URL_SPECIAL
135,Mở dashboard chỉ huy VTSport tháng,/pages/screen/5512,OPEN_URL_SPECIAL
136,Mở dashboard chỉ huy Hà Nội tháng,/pages/screen/6475,OPEN_URL_SPECIAL
137,Mở dashboard chỉ huy Hồ Chí Minh tháng,/pages/screen/6476,OPEN_URL_SPECIAL
146,Mở dashboard chỉ huy Bắc Kạn tháng,/pages/screen/6537,OPEN_URL_SPECIAL
150,Mở dashboard chỉ huy Bắc Ninh tháng,/pages/screen/6539,OPEN_URL_SPECIAL
153,Mở dashboard chỉ huy Bình Phước tháng,/pages/screen/6525,OPEN_URL_SPECIAL
158,Mở dashboard chỉ huy Cao Bằng tháng,/pages/screen/6527,OPEN_URL_SPECIAL
159,Mở dashboard chỉ huy Cao Bằng ngày,/pages/screen/6335,OPEN_URL_SPECIAL
163,Mở dashboard chỉ huy Cần Thơ ngày,/pages/screen/6336,OPEN_URL_SPECIAL
167,Mở dashboard chỉ huy Đắc Nông ngày,/pages/screen/6339,OPEN_URL_SPECIAL
166,Mở dashboard chỉ huy Đắc Nông tháng,/pages/screen/6546,OPEN_URL_SPECIAL
168,Mở dashboard chỉ huy Đắc Lắc tháng,/pages/screen/6635,OPEN_URL_SPECIAL
175,Mở dashboard chỉ huy Đồng Tháp ngày,/pages/screen/6347,OPEN_URL_SPECIAL
176,Mở dashboard chỉ huy Đồng Tháp tháng,/pages/screen/6554,OPEN_URL_SPECIAL
180,Mở dashboard chỉ huy Hòa Bình tháng,/pages/screen/6517,OPEN_URL_SPECIAL
179,Mở dashboard chỉ huy Hòa Bình ngày,/pages/screen/6353,OPEN_URL_SPECIAL
178,Mở dashboard chỉ huy Gia Lai ngày,/pages/screen/6349,OPEN_URL_SPECIAL
177,Mở dashboard chỉ huy Gia Lai tháng,/pages/screen/6553,OPEN_URL_SPECIAL
184,Mở dashboard chỉ huy Hà Giang tháng,/pages/screen/6595,OPEN_URL_SPECIAL
183,Mở dashboard chỉ huy Hà Giang ngày,/pages/screen/6399,OPEN_URL_SPECIAL
188,Mở dashboard chỉ huy Hải Phòng tháng,/pages/screen/6580,OPEN_URL_SPECIAL
198,Mở dashboard chỉ huy Kiên Giang ngày,/pages/screen/6456,OPEN_URL_SPECIAL
197,Mở dashboard chỉ huy Kiên Giang tháng,/pages/screen/6575,OPEN_URL_SPECIAL
210,Mở dashboard chỉ huy Lâm Đồng ngày,/pages/screen/6377,OPEN_URL_SPECIAL
209,Mở dashboard chỉ huy Lâm Đồng tháng,/pages/screen/6555,OPEN_URL_SPECIAL
212,Mở dashboard chỉ huy Lạng Sơn tháng,/pages/screen/6547,OPEN_URL_SPECIAL
211,Mở dashboard chỉ huy Lạng Sơn ngày,/pages/screen/6348,OPEN_URL_SPECIAL
218,Mở dashboard chỉ huy Nam Định ngày,/pages/screen/6343,OPEN_URL_SPECIAL
217,Mở dashboard chỉ huy Nam Định tháng,/pages/screen/6543,OPEN_URL_SPECIAL
236,Mở dashboard chỉ huy Sơn La tháng,/pages/screen/6535,OPEN_URL_SPECIAL
235,Mở dashboard chỉ huy Sơn La ngày,/pages/screen/6318,OPEN_URL_SPECIAL
261,Mở đát bót chỉ huy TD ngày,/pages/screen/2354,OPEN_URL_SPECIAL
262,Mở dashboard chỉ huy Metfone tháng,/pages/screen/2701,OPEN_URL_SPECIAL
263,Mở đát bót Metfone tháng,/pages/screen/2701,OPEN_URL_SPECIAL
264,Mở đát bọt chỉ huy Metfone tháng,/pages/screen/2701,OPEN_URL_SPECIAL
265,Mở dashboard chỉ huy CTM tháng,/pages/screen/9682,OPEN_URL_SPECIAL
266,Mở dashboard chỉ huy Metfone ngày,/pages/screen/2690,OPEN_URL_SPECIAL
267,Mở dashboard chỉ huy Natcom ngày,/pages/screen/2919,OPEN_URL_SPECIAL
268,Mở dashboard chỉ huy Movitel tháng,/pages/screen/2772,OPEN_URL_SPECIAL
